year,location,Soil,cultivar,sowing date,sowing configuration,esw,gsr,nheat,nheat2,Maturity Date,yield,nfrost,multiplier,frost yield,crop,crop price
2002,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,133.698,287.7,2,,340,5918.1,1,0.9,5326.332,Wheat,250
2003,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,140.961,395.2,3,,346,5902,0,1,5902.039,Wheat,250
2004,"Kanagulk, VIC",Shallow sand loam over clay ,1,122,,148.636,371.9,0,,341,5383.3,1,0.9,4845.011,Wheat,250
2005,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,203.966,363.1,1,,336,6200.2,0,1,6200.18,Wheat,250
2006,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,72.748,149.5,0,,338,4534.6,4,0.518,2350.719,Wheat,250
2007,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,121.313,317.2,1,,335,5468.9,1,0.9,4922.053,Wheat,250
2008,"Kanagulk, VIC",Shallow sand loam over clay ,1,122,,92.812,257.9,4,,341,5013.2,1,0.8,4010.566,Wheat,250
2009,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,153.475,376.4,9,,331,6429.8,0,1,6429.774,Wheat,250
2010,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,273.574,560.6,1,,342,5358.7,1,0.9,4822.816,Wheat,250
2011,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,133.18,313.5,1,,333,5399.8,1,0.9,4859.835,Wheat,250
2012,"Kanagulk, VIC",Shallow sand loam over clay ,1,122,,87.867,254.2,2,,340,6031,1,0.9,5427.919,Wheat,250
2013,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,168.193,433.3,0,,336,4718.8,1,0.9,4246.892,Wheat,250
2014,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,86.924,242.5,3,,331,4505.6,1,0.9,4055.08,Wheat,250
2015,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,66.987,212.5,3,,332,3406.7,0,1,3406.653,Wheat,250
2016,"Kanagulk, VIC",Shallow sand loam over clay ,1,122,,143.008,548.3,1,,344,6032.7,2,0.81,4886.508,Wheat,250
2017,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,170.749,413.8,4,,334,6451.2,0,1,6451.212,Wheat,250
